angle,Los Angeles Angels,Houston Astros,Oakland Athletics,Toronto Blue Jays,Cleveland
45,329.9868872,317.5949746,338.4802206,340.8472151,315.7849199
46,339.7333353,,,,
47,345.9989092,,,,
48,350.5936633,,,,
49,354.2137726,,,,
50,356.8592371,,,,
51,358.9477617,,,,
52,360.3401114,,,,
53,361.1755213,,,,
54,361.3147562,,,,
55,361.4539912,,,,
57,,,376.0736634,,
60,,,,,
66,,,,387.0732263,368.8334448
68,,364.5171606,371.0612044,,
69,,361.4539912,,,
75,,,,,
77,,396.2627346,,406.0091827,
77.25,,,,,
77.46,,394.5919149,,,
78,,397.5158493,,407.5407674,
79,,403.5029532,395.2880898,408.6546472,
80,,408.9331172,,409.4900571,
81,,413.6671063,,410.046997,
82,,417.5656855,,410.4647019,
83,,420.48962,,410.8824068,
84,,422.7173796,,411.0216418,
85,,423.9704943,407.9584724,411.3001117,
86,,424.6666692,,411.3697292,
87,408.0977073,424.9451391,,411.4393467,
88,,423.8312593,,411.5089642,
89,,422.1604397,,411.5785817,
90,,419.6542101,,411.6481992,
91,,416.4518057,,411.5785817,
92,,412.5532265,,411.5089642,
93,,407.5407674,,411.4393467,
94,,,407.1230625,411.3697292,337.2271058
95,,,,411.3001117,
96,,,,411.0216418,
97,,,,410.8824068,
98,,,,410.4647019,
99,,,,410.046997,
99.77,,378.579893,,,
99.93,,380.6684176,,,
100,,,,409.4900571,
101,,,394.313445,408.6546472,
102,,,,407.5407674,
102.8,,371.2004394,,,
102.65,,369.1119148,,,
103,,,,406.0091827,
103.59,,366.3272153,,,
103.73,,368.4157399,,,
105,,,,,
106.79,,360.3401114,,,
106.66,,358.2515868,,,
107.65,,356.0238272,,,
107.77,,358.1123518,,,
111,,351.2898381,368.8334448,,
111.33,,323.7213134,,,
113,387.7694012,,,,
114,,,,387.0732263,
118,,319.9619691,,,
120,,,,,
122,,,373.149729,,
123,,,,,351.4290731
124,,,,,
125,361.4539912,,,,
126,361.3147562,,,,
127,361.1755213,,,,
128,360.3401114,,,,
129,358.9477617,,,,
130,356.8592371,,,,
131,354.2137726,,,,
132,350.5936633,,,,
133,345.9989092,,,,
134,339.7333353,,,,
135,329.9868872,302.4183624,334.0247014,340.8472151,318.2911494
