city,stateAbb,state,cityState,teams,Latitude,Longitude,lngLat,rank_all,rank_pro,rank_NCAA,count,finals,final4,pro,NCAA,mlb,nba,nfl,nhl,mls,cfl,ncaa,ncaa-football-m,ncaa-basketball-m,ncaa-baseball-m,ncaa-basketball-w,ncaa-soccer-w,ncaa-volleyball-w
Los Angeles,CA,California,"Los Angeles, California","[""University of Southern California (NCAA - 21)"", "" University of California-Los Angeles (NCAA - 18)"", "" Los Angeles Lakers (NBA - 11)"", "" Los Angeles Dodgers (MLB - 5)"", "" Los Angeles Galaxy (MLS - 5)"", "" Los Angeles Kings (NHL - 2)"", "" Los Angeles Raiders (NFL - 1)"", "" Los Angeles Rams (NFL - 1)""]",34.0522342,-118.2436849,"[-118.2436849, 34.0522342]",1,6,1,64,39,50,25,39,5,11,2,2,5,0,39,10,11,13,0,1,4
New York,NY,New York,"New York, New York","[""New York Yankees (MLB - 27)"", "" New York Giants (MLB - 8)"", "" New York Giants (MLB - 5)"", "" New York Islanders (NHL - 4)"", "" New York Rangers (NHL - 4)"", "" New York Knicks (NBA - 2)"", "" New York Mets (MLB - 2)"", "" Brooklyn Dodgers (MLB - 1)"", "" City College of New York (NCAA - 1)"", "" New York Jets (NFL - 1)""]",40.7127753,-74.0059728,"[-74.0059728, 40.7127753]",2,1,69,55,63,85,54,1,35,2,9,8,0,0,1,0,1,0,0,0,0
Toronto,ON,Ontario,"Toronto, Ontario","[""Toronto Argonauts (CFL - 17)"", "" Toronto Maple Leafs (NHL - 11)"", "" University of Toronto Varsity Blues (CFL - 4)"", "" Toronto Balmy Beach (CFL - 2)"", "" Toronto Blue Jays (MLB - 2)"", "" Toronto Arenas (NHL - 1)"", "" Toronto FC (MLS - 1)"", "" Toronto RCAF Hurricanes (CFL - 1)"", "" Toronto St. Patricks (NHL - 1)""]",43.653226,-79.3831843,"[-79.3831843, 43.653226]",3,2,110,40,23,40,40,0,2,0,0,13,1,24,0,0,0,0,0,0,0
Boston,MA,Massachusetts,"Boston, Massachusetts","[""Boston Celtics (NBA - 17)"", "" Boston Red Sox (MLB - 7)"", "" Boston Bruins (NHL - 6)"", "" New England Patriots (NFL - 5)"", "" Boston Americans (MLB - 1)"", "" Boston Braves (MLB - 1)""]",42.3600825,-71.0588801,"[-71.0588801, 42.3600825]",4,3,110,37,33,58,37,0,9,17,5,6,0,0,0,0,0,0,0,0,0
Montreal,QC,Quebec,"Montreal, Quebec","[""Montreal Canadiens (NHL - 25)"", "" Montreal Alouettes (CFL - 7)"", "" Montreal Maroons (NHL - 2)"", "" Montreal AAA Winged Wheelers (CFL - 1)"", "" St. Hyacinthe-Donnacona Navy (CFL - 1)""]",45.5016889,-73.567256,"[-73.567256, 45.5016889]",5,4,110,36,21,36,36,0,0,0,0,27,0,9,0,0,0,0,0,0,0
Chicago,IL,Illinois,"Chicago, Illinois","[""Chicago Bears (NFL - 8)"", "" Chicago Bulls (NBA - 6)"", "" Chicago Black Hawks (NHL - 3)"", "" Chicago Blackhawks (NHL - 3)"", "" Chicago Cubs (MLB - 3)"", "" Chicago White Sox (MLB - 3)"", "" Chicago Cardinals (NFL - 2)"", "" Loyola-Chicago (NCAA - 2)"", "" Chicago Fire (MLS - 1)"", "" University of Chicago (NCAA - 1)""]",41.8781136,-87.6297982,"[-87.6297982, 41.8781136]",6,5,36,32,30,57,29,3,6,6,10,6,1,0,3,1,2,0,0,0,0
Chapel Hill,NC,North Carolina,"Chapel Hill, North Carolina","[""University of North Carolina (NCAA - 28)""]",35.9131996,-79.0558445,"[-79.0558445, 35.9131996]",7,53,2,28,10,17,0,28,0,0,0,0,0,0,28,0,6,0,1,21,0
Philadelphia,PA,Pennsylvania,"Philadelphia, Pennsylvania","[""Philadelphia Athletics (MLB - 5)"", "" Philadelphia Eagles (NFL - 4)"", "" University of Pennsylvania (NCAA - 4)"", "" Philadelphia 76ers (NBA - 2)"", "" Philadelphia Flyers (NHL - 2)"", "" Philadelphia Warriors (NBA - 2)"", "" Frankford Yellow Jackets (NFL - 1)"", "" La Salle University (NCAA - 1)"", "" Philadelphia Philles (MLB - 1)""]",39.9525839,-75.1652215,"[-75.1652215, 39.9525839]",8,9,26,23,24,41,18,5,7,4,5,2,0,0,5,4,1,0,0,0,0
Detroit,MI,Michigan,"Detroit, Michigan","[""Detroit Red Wings (NHL - 11)"", "" Detroit Lions (NFL - 4)"", "" Detroit Tigers (MLB - 4)"", "" Detroit Pistons (NBA - 3)""]",42.331427,-83.0457538,"[-83.0457538, 42.331427]",9,7,110,22,23,39,22,0,4,3,4,11,0,0,0,0,0,0,0,0,0
Pittsburgh,PA,Pennsylvania,"Pittsburgh, Pennsylvania","[""Pittsburgh Steelers (NFL - 6)"", "" Pittsburgh Penguins (NHL - 5)"", "" Pittsburgh Pirates (MLB - 5)"", "" University of Pittsburgh (NCAA - 5)""]",40.4406248,-79.9958864,"[-79.9958864, 40.4406247999999]",10,10,26,21,5,31,16,5,5,0,6,5,0,0,5,5,0,0,0,0,0
Edmonton,AB,Alberta,"Edmonton, Alberta","[""Edmonton Eskimos (CFL - 14)"", "" Edmonton Oilers (NHL - 5)""]",53.544389,-113.4909267,"[-113.4909267, 53.544389]",11,8,110,19,13,20,19,0,0,0,0,5,0,14,0,0,0,0,0,0,0
New Haven,CT,Connecticut,"New Haven, Connecticut","[""Yale University (NCAA - 18)""]",41.308274,-72.9278835,"[-72.9278835, 41.308274]",12,53,3,18,2,0,0,18,0,0,0,0,0,0,18,18,0,0,0,0,0
Notre Dame,IN,Indiana,"Notre Dame, Indiana","[""University of Notre Dame (NCAA - 18)""]",41.7001908,-86.2379328,"[-86.2379328, 41.7001908]",12,53,3,18,9,8,0,18,0,0,0,0,0,0,18,13,0,0,2,3,0
