leagueLevel,league,first,trophySelector,colour,sport,championship,trophy,month,year,number,date,note,t1,t1loc,nth,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
NCAA,NCAA D1 - Men,TRUE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1870,1,1/1/1870,NCF,Princeton University,"Princeton, New Jersey",1,"[-74.6672226, 40.3572976]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1870,2,1/1/1870,NCF,Rutgers University,"New Brunswick, New Jersey",1,"[-74.4518188, 40.4862157]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1871,3,1/1/1871,NCF,Princeton University,"Princeton, New Jersey",2,"[-74.6672226, 40.3572976]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1873,4,1/1/1873,NCF,Princeton University,"Princeton, New Jersey",3,"[-74.6672226, 40.3572976]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1874,5,1/1/1874,NCF,Princeton University,"Princeton, New Jersey",4,"[-74.6672226, 40.3572976]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1875,6,1/1/1875,NCF,Yale University,"New Haven, Connecticut",1,"[-72.9278835, 41.308274]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1876,7,1/1/1876,NCF,Harvard University,"Cambridge, Massachusetts",1,"[-71.1097334999999, 42.3736158]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1877,8,1/1/1877,NCF,Yale University,"New Haven, Connecticut",2,"[-72.9278835, 41.308274]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1878,9,1/1/1878,NCF,Yale University,"New Haven, Connecticut",3,"[-72.9278835, 41.308274]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1879,10,1/1/1879,NCF,Princeton University,"Princeton, New Jersey",5,"[-74.6672226, 40.3572976]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1880,11,1/1/1880,NCF,Princeton University,"Princeton, New Jersey",6,"[-74.6672226, 40.3572976]",,,,,,,,,
